EV Sahibi,Deplasman,Skor,EV GOL,DEP GOL,TOPLAM GOL,SONUÇ,1.5-ALT/ÜST,2.5-ALT/ÜST,3.5-ALT/ÜST,4.5-ALT/ÜST,MS-1,MS-X,MS-2,ÇŞ-1X,ÇŞ-12,ÇŞ-X2,H:02-1,H:02-X,H:02-2,H:01-1,H:01-X,H:01-2,H:10-1,H:10-X,H:10-2,H:20-1,H:20-X,H:20-2,ALL
Vitoria Guimaraes,CD Tondela,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.20,3.60,6.75,1.02,1.10,2.30,2.45,2.95,1.55,1.55,2.75,2.30,1.02,3.30,8.50,1.00,1.00,1.00,ALL
Alianza Un,Deportivo Llacuabamba,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.20,3.90,6.25,1.02,1.08,2.30,2.35,3.00,1.55,1.55,2.80,2.30,1.02,3.40,8.00,1.00,4.40,12.50,ALL
Persib Bandung,Persela Lamongan,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.25,3.90,6.00,1.05,1.12,2.20,2.95,3.30,1.55,1.75,2.95,2.20,1.05,4.25,10.00,1.00,1.00,1.00,ALL
Galatasaray,Gençlerbirliği,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.28,4.00,6.25,1.00,1.15,2.55,2.70,3.35,1.58,1.70,3.15,2.55,1.00,4.30,9.00,1.00,1.00,1.00,ALL
Estoril Praia,UD Vilafranquense,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.30,3.40,5.25,1.05,1.15,2.05,3.00,3.00,1.35,1.80,2.70,2.05,1.05,3.30,7.50,1.00,1.00,1.00,ALL
UD San Sebastian Reyes,Getafe B,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.25,2.80,2.25,1.35,1.25,1.35,6.25,3.50,1.05,3.75,2.90,1.30,1.30,2.90,3.75,1.05,3.50,6.25,ALL
P. Bielsko,Wigry,4-0,4,0,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.30,3.25,5.50,1.02,1.15,2.05,3.10,2.95,1.35,1.85,2.60,2.10,1.02,3.25,8.25,1.00,4.25,15.00,ALL
Krasnodar,FC Ufa,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.30,3.25,5.50,3.00,3.00,1.35,1.80,2.65,2.05,1.00,3.25,10.00,1.25,4.00,2.60,1.00,1.00,1.00,ALL
SD Aucas,Mushuc Runa,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.30,3.30,5.75,1.02,1.15,2.05,2.65,3.10,1.45,1.70,2.90,2.05,1.02,3.40,7.25,1.00,3.40,9.50,ALL
Bşb Erzurum,Menemenspor,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.30,3.50,6.25,1.02,1.12,2.10,3.10,3.30,1.50,1.85,2.90,2.10,1.02,4.25,12.00,1.00,1.00,1.00,ALL
Persipura J,Psis Semar,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.35,3.60,4.75,1.05,1.15,2.00,3.75,3.40,1.35,2.05,2.80,2.00,1.05,4.00,9.50,1.00,4.25,15.00,ALL
Union Furstenwalde,B.ofswerdaer,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.30,3.60,4.75,1.05,1.12,2.05,2.75,3.10,1.40,1.75,2.85,2.05,1.05,3.50,6.50,1.00,3.50,12.00,ALL
Vendsyssel,Roskilde,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.45,3.20,4.00,1.08,1.18,1.80,3.50,3.20,1.25,2.05,2.75,1.80,1.08,3.30,6.00,1.00,3.50,8.50,ALL
Lyon,St Etienne,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.52,3.30,4.30,1.08,1.22,1.90,3.95,3.60,1.30,2.25,3.05,1.90,1.08,4.00,7.50,1.00,4.50,12.00,ALL
Freiburg II,Pirmasens,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.50,3.10,3.60,1.08,1.18,1.70,3.60,3.25,1.20,2.15,2.80,1.70,1.08,3.30,5.50,1.00,3.50,8.00,ALL
Kalmar,Jönköping,5-0,5,0,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.55,3.10,3.60,1.08,1.20,1.70,3.75,3.25,1.20,2.25,3.10,1.70,1.08,3.30,5.50,1.00,3.50,8.00,ALL
Thor Akureyr,T Reykjavik,3-1,3,1,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.60,3.75,3.00,1.18,1.15,1.67,4.25,3.90,1.25,2.40,3.20,1.67,1.18,3.90,5.25,1.02,4.60,8.50,ALL
Team Wellington,Eastern Suburbs AFC,4-1,4,1,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.60,3.25,3.20,1.18,1.18,1.65,3.90,4.00,1.25,2.35,3.40,1.70,1.15,4.25,5.00,1.02,4.75,8.00,ALL
Sparta Rotterdam,Emmen,5-1,5,1,6,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.60,3.10,3.30,1.12,1.20,1.62,3.75,3.40,1.20,2.25,2.90,1.62,1.12,3.40,5.00,1.00,1.00,1.00,ALL
San Fernando,Cadiz B,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.62,2.65,3.90,1.08,1.25,1.60,4.75,3.20,1.15,2.60,2.60,1.60,1.08,3.10,6.75,1.00,3.30,9.50,ALL
Estudiantes Caseros,Barracas,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.67,2.70,3.95,1.15,1.25,1.62,5.20,3.75,1.20,2.75,2.95,1.67,1.10,3.80,7.75,1.00,4.40,12.00,ALL
FC Dallas,Philadelphia Union,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.75,3.00,3.00,1.15,1.20,1.50,4.25,3.40,1.15,2.50,2.90,1.50,1.15,3.30,4.50,1.02,3.60,6.75,ALL
Saint Pauli,Osnabruck,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.80,2.85,2.95,1.15,1.20,1.50,4.50,3.40,1.12,2.65,2.90,1.50,1.15,3.20,4.60,1.00,1.00,1.00,ALL
Western United FC,C Mariners,6-2,6,2,8,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.85,2.90,2.75,1.20,1.20,1.45,4.50,3.50,1.12,2.70,3.00,1.45,1.18,3.25,4.25,1.02,3.60,6.50,ALL
Nykoebing,Skive IK,4-2,4,2,6,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.95,2.95,2.45,1.20,1.20,1.35,4.75,3.60,1.10,2.90,3.00,1.35,1.20,3.20,3.75,1.05,3.60,5.75,ALL
Holstein Kiel II,Hannover 96 II,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.00,3.00,2.40,1.25,1.20,1.35,4.75,3.60,1.10,2.95,3.10,1.35,1.25,3.20,3.60,1.05,3.60,5.75,ALL
Real Madrid,Barcelona,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.05,3.15,2.55,1.28,1.25,1.45,5.60,4.20,1.12,3.20,3.40,1.45,1.28,3.65,4.20,1.06,4.50,7.25,ALL
SCR Pena Deportiva,Club Marino De Luanco,4-0,4,0,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.55,3.10,3.50,1.08,1.20,1.67,3.90,3.25,1.20,2.30,2.75,1.67,1.08,3.25,5.50,1.00,3.50,8.00,ALL
Ucam Murcia,Yeclano Deportivo,3-1,3,1,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.15,2.65,2.50,1.20,1.25,1.30,6.25,3.40,1.05,3.60,2.80,1.30,1.20,2.90,4.25,1.02,3.40,7.00,ALL
Nacional Potosi,Strongest,3-1,3,1,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.25,3.00,2.25,1.35,1.20,1.35,5.75,4.50,1.10,3.50,3.75,1.20,1.35,3.75,3.40,1.10,4.50,5.75,ALL
Slovacko,Slavia Prag,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,5.25,3.40,1.30,2.05,1.15,1.05,10.00,3.30,1.00,7.50,3.30,1.05,2.05,2.65,1.80,1.35,3.00,3.00,ALL
Leones Negros Udeg,Cimarrones De Sonora,3-1,3,1,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.00,2.70,2.80,1.20,1.25,1.45,6.75,4.00,1.10,3.60,3.10,1.45,1.20,3.50,5.50,1.02,4.40,9.50,ALL
Sporting Gijon B,CD Atletico Baleares,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.45,2.70,2.10,1.30,1.25,1.20,6.75,3.50,1.05,4.25,2.95,1.20,1.30,2.85,3.40,1.05,3.40,6.00,ALL
Bali Pusam,Persita Tangerang,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.20,4.00,7.25,1.02,1.08,2.35,2.65,3.20,1.65,1.62,2.95,2.35,1.02,4.25,12.00,1.00,1.00,1.00,ALL
Club Bolivar,Real Potosi,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.05,6.25,10.00,1.00,1.02,3.10,1.50,3.60,2.90,1.15,3.90,3.10,1.00,4.50,12.50,1.00,1.00,1.00,ALL
Pdrm FA,Sabah,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.80,3.10,1.85,1.50,1.20,1.25,8.50,4.50,1.05,5.00,3.60,1.20,1.50,3.20,3.00,1.15,4.00,5.50,ALL
CD Tudelano,Unionistas,3-1,3,1,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.15,2.80,2.30,1.30,1.25,1.35,5.75,3.50,1.05,3.40,2.90,1.30,1.25,3.00,3.75,1.05,3.50,6.25,ALL
Vorskla Poltava,Shakhtar Donetsk,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,9.00,4.60,1.08,2.80,1.05,1.00,10.00,3.25,1.00,2.80,2.90,1.30,1.95,2.90,1.85,1.00,1.00,1.00,ALL
Nacional Asuncion,Club Olimpia,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,3.40,3.10,1.67,1.62,1.20,1.18,9.50,4.60,1.02,6.00,3.90,1.15,1.67,3.10,2.60,1.20,3.90,4.60,ALL
Cercle Brugge,KAA Gent,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.75,3.00,1.80,1.45,1.20,1.25,4.25,3.30,1.18,1.45,3.00,3.10,1.15,3.50,4.25,1.00,1.00,1.00,ALL
Meppen,Duisburg,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.95,2.90,2.50,1.20,1.20,1.35,4.75,3.60,1.10,2.95,3.00,1.35,1.20,3.20,3.75,1.05,3.60,6.00,ALL
Falkenbergs,Halmstads BK,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.80,3.00,2.70,1.18,1.20,1.45,4.50,3.50,1.12,2.70,2.95,1.45,1.18,3.20,4.25,1.02,3.60,6.50,ALL
Talavera R,Sevilla Atl.,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.75,2.85,3.10,1.12,1.20,1.50,5.00,3.30,1.12,2.80,2.70,1.50,1.12,3.10,5.25,1.02,3.40,8.00,ALL
İstanbulspor,Adanaspor,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.50,3.10,3.75,1.08,1.18,1.75,3.75,3.20,1.20,2.20,2.75,1.75,1.08,3.30,9.00,1.00,4.40,12.50,ALL
Salamanca CF,CD Guijuelo,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.10,2.95,2.35,1.25,1.20,1.35,6.00,3.40,1.05,3.40,2.80,1.35,1.25,2.90,3.90,1.05,3.50,6.50,ALL
ES Metlaoui,AS Oued Ellil,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.50,3.30,3.90,1.10,1.18,1.95,4.60,3.60,1.25,2.45,2.80,1.75,1.10,3.75,8.00,1.00,4.40,12.50,ALL
Ajax,AZ Alkmaar,0-2,0,2,2,MS - 2,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.35,3.60,4.25,1.05,1.12,1.95,2.70,3.25,1.40,1.75,3.00,1.95,1.05,3.60,5.50,1.00,3.60,7.50,ALL
CP Villarrobledo,Badajoz,1-3,1,3,4,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.85,2.70,1.90,1.45,1.25,1.20,10.00,4.40,1.02,6.25,3.60,1.15,1.50,3.00,3.10,1.15,3.90,6.00,ALL
Vejle,HB Koege,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.50,3.10,4.00,1.08,1.18,1.80,3.50,3.20,1.25,2.10,2.75,1.80,1.08,3.30,6.00,1.00,3.50,8.50,ALL
Brondby,Lyngby BK,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.45,3.20,3.90,1.08,1.18,1.80,3.30,3.25,1.25,2.00,2.85,1.80,1.08,3.40,5.75,1.00,3.50,8.00,ALL
Melbourne City FC,Brisbane Roar,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.45,3.20,4.00,1.08,1.15,1.80,3.25,3.25,1.30,2.00,2.85,1.80,1.10,3.40,5.75,1.00,3.50,8.00,ALL
Arminia Bielefeld,Wehen Wiesbaden,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.40,3.30,4.25,1.05,1.15,1.90,3.00,3.20,1.30,1.90,2.90,1.90,1.05,3.50,6.00,1.00,3.50,8.25,ALL
SC Covilha,Chaves,0-2,0,2,2,MS - 2,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.20,2.55,2.45,1.25,1.25,1.30,6.50,3.40,1.05,3.75,2.85,1.30,1.25,2.90,4.25,1.05,3.40,7.00,ALL
Vancouver Whitecaps,Kansas City,1-3,1,3,4,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.65,2.95,1.85,1.40,1.20,1.20,8.00,3.60,1.05,4.00,3.25,1.20,1.40,3.00,2.75,1.12,3.50,4.50,ALL
Urbs Reggina 1914,SS Monopoli 1966,0-2,0,2,2,MS - 2,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.67,2.75,3.40,1.12,1.25,1.60,5.50,3.75,1.18,2.85,2.95,1.60,1.12,3.75,7.00,1.02,4.40,12.00,ALL
SJ Oruro,Club Aurora,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.30,3.75,5.25,1.05,1.12,2.05,3.00,3.40,1.50,1.85,3.10,1.60,1.05,4.25,9.00,1.00,4.40,12.50,ALL
Zory Luhansk,Olimpik Donetsk,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.25,3.50,6.00,1.02,1.12,2.15,2.60,3.00,1.45,1.65,2.75,2.15,1.02,3.40,8.00,1.00,1.00,1.00,ALL
CA Aldosivi,San Lorenzo,1-3,1,3,4,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.45,2.45,2.30,1.25,1.30,1.25,7.25,4.25,1.02,4.25,2.85,1.25,1.25,2.80,4.00,1.05,3.40,6.75,ALL
Stade Tunisien,AS Soliman,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.30,2.90,2.30,1.35,1.25,1.35,9.00,4.25,1.05,4.60,3.10,1.35,1.35,3.10,4.60,1.05,4.25,9.00,ALL
Godoy Cruz,Union Santa,1-3,1,3,4,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.65,2.60,2.05,1.35,1.25,1.20,7.50,3.40,1.02,4.60,2.95,1.20,1.35,2.80,3.40,1.08,3.40,6.00,ALL
Brommapojkarna,Hammarby,0-2,0,2,2,MS - 2,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,7.50,4.75,1.10,2.70,1.05,1.00,7.50,3.60,1.00,2.70,3.75,1.25,2.00,3.20,1.70,1.00,1.00,1.00,ALL
UP Langreo,LAS Rozas CF,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.15,2.70,2.40,1.25,1.25,1.30,6.25,3.40,1.05,3.60,2.80,1.30,1.25,2.90,4.00,1.05,3.40,6.75,ALL
Tigres,Pumas Unam,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.60,3.00,3.50,1.10,1.20,1.65,3.90,3.30,1.25,2.30,2.80,1.65,1.10,3.30,6.75,1.00,3.50,7.50,ALL
Altay,Altınordu,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.55,3.10,3.40,1.10,1.18,1.65,4.00,3.25,1.18,2.35,2.70,1.65,1.10,3.20,5.50,1.00,3.50,8.00,ALL
G Halberstad,SV Babelsberg 03,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.85,3.10,2.85,1.20,1.20,1.50,5.00,4.00,1.18,2.90,3.30,1.50,1.20,3.75,4.75,1.05,4.60,8.25,ALL
Merida AD,Murcia,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.25,2.65,2.30,1.35,1.25,1.35,6.50,3.40,1.05,3.90,2.85,1.25,1.25,2.85,3.90,1.05,3.40,6.75,ALL
Waalwijk,Utrecht,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,3.75,3.25,1.50,1.75,1.18,1.08,5.50,3.40,1.08,1.75,2.90,2.05,1.25,3.25,3.30,1.00,1.00,1.00,ALL
Alaves II,Real Sociedad B,3-2,3,2,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,2.05,2.75,2.50,1.20,1.25,1.35,5.75,3.40,1.08,3.40,2.80,1.35,1.20,2.95,4.25,1.02,3.50,7.00,ALL
Varzim,CD Mafra,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.00,2.60,2.75,1.18,1.25,1.35,5.50,3.40,1.08,3.20,2.80,1.35,1.18,3.00,4.60,1.02,3.50,7.25,ALL
Gimnastic,Valencia CF Mestalla,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.95,2.65,2.80,1.18,1.25,1.40,5.25,3.40,1.08,3.10,2.85,1.40,1.18,3.10,4.60,1.02,3.50,7.25,ALL
FC Carlos Stein,Deportivo Binacional,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.15,2.80,2.30,1.25,1.25,1.30,5.25,3.60,1.08,3.30,3.10,1.30,1.25,3.10,3.60,1.05,3.60,5.75,ALL
WSG Tirol,Admira Wacker,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.10,2.85,2.40,1.25,1.25,1.30,5.25,3.50,1.08,3.20,3.00,1.30,1.25,3.10,3.75,1.05,3.60,6.00,ALL
Casa Pia AC,CD Cova Piedade,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.10,2.70,2.50,1.20,1.25,1.30,5.75,3.50,1.08,3.40,2.90,1.30,1.20,3.00,4.00,1.05,3.50,6.75,ALL
Bochum,Sandhausen,4-4,4,4,8,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.95,2.90,2.55,1.20,1.20,1.35,5.00,3.50,1.08,3.00,3.25,1.35,1.20,3.10,3.90,1.05,3.60,6.25,ALL
America Cali,Deport Cali,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.95,2.75,2.70,1.18,1.25,1.40,5.50,3.40,1.08,3.20,2.75,1.40,1.18,3.00,4.60,1.02,3.50,7.25,ALL
Pohronie,FK Senica,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.05,2.90,2.40,1.25,1.20,1.35,5.00,3.60,1.08,3.10,3.00,1.35,1.25,3.10,3.75,1.05,3.60,5.75,ALL
Club Haro Deportivo,Barakaldo CF,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.95,2.85,2.55,1.20,1.25,1.35,5.25,3.50,1.08,3.10,2.90,1.35,1.20,3.10,4.00,1.05,3.50,6.50,ALL
Bohemians Prag,Karvina,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.90,2.55,3.00,1.15,1.25,1.40,5.75,3.30,1.08,3.20,2.70,1.40,1.15,3.00,5.25,1.02,3.40,8.25,ALL
Sochi,Arsenal Tula,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.95,2.60,2.80,1.15,1.25,1.35,5.75,3.40,1.08,3.25,2.75,1.35,1.25,3.40,4.75,1.00,1.00,1.00,ALL
Zaglebie Lubin,Slask Wroclaw,3-1,3,1,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.00,2.70,2.60,1.20,1.25,1.35,5.50,3.40,1.08,3.20,2.85,1.35,1.20,3.10,5.00,1.05,4.40,9.00,ALL
Elche,Numancia,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.90,2.55,3.10,1.15,1.25,1.40,5.25,3.40,1.08,3.00,2.75,1.40,1.15,3.10,5.25,1.00,1.00,1.00,ALL
Gimnasia Y,Villa Dalmine,3-1,3,1,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.05,2.50,3.05,1.18,1.30,1.42,8.00,4.00,1.08,3.90,2.90,1.42,1.18,3.35,6.50,1.00,4.25,12.00,ALL
Don Benito,Villarrubia CF,5-0,5,0,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,2.15,2.65,2.65,1.25,1.25,1.40,6.00,3.40,1.08,3.40,2.75,1.35,1.25,2.95,4.50,1.02,3.40,7.25,ALL
Denizlispor,Yeni Malatyaspor,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.30,2.90,2.40,1.30,1.30,1.35,7.00,4.30,1.08,3.90,3.40,1.35,1.30,3.40,4.10,1.06,4.30,7.25,ALL
Coventry,Sunderland,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.20,2.60,2.60,1.20,1.25,1.35,6.00,3.40,1.08,3.40,2.80,1.35,1.20,2.95,4.40,1.02,3.50,7.25,ALL
Athletic Bilbao,Villarreal,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.20,2.80,2.55,1.28,1.30,1.38,7.50,4.20,1.08,3.90,3.20,1.38,1.28,3.35,4.70,1.05,4.30,8.50,ALL
UD Las Palmas Atletico,Melilla,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.00,2.70,2.65,1.25,1.25,1.45,5.75,3.40,1.08,3.25,2.75,1.35,1.20,2.95,5.25,1.02,3.40,7.25,ALL
RB Linense,Recreativo,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.90,2.65,2.90,1.15,1.25,1.40,5.75,3.30,1.08,3.20,2.65,1.40,1.15,2.95,5.25,1.02,3.40,8.25,ALL
CS Deportivo Pereira,Once Caldas,1-3,1,3,4,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.30,2.55,2.40,1.25,1.30,1.25,7.00,3.40,1.05,4.00,2.75,1.25,1.25,3.10,4.25,1.02,3.40,7.25,ALL
Nueva Chicago,Ind. Mendoza,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.10,2.50,2.95,1.22,1.30,1.42,7.50,4.10,1.08,3.85,3.05,1.42,1.20,3.40,6.00,1.00,4.30,11.00,ALL
Cucuta Depor,A. Bucaraman,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.95,2.55,2.90,1.15,1.25,1.40,6.00,3.30,1.08,3.30,2.65,1.40,1.15,2.95,5.25,1.02,3.40,8.25,ALL
Mitre Santia,Ferro Carril Oeste,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.35,2.50,2.50,1.28,1.30,1.30,9.25,4.20,1.05,4.75,3.10,1.30,1.28,3.15,5.10,1.00,4.20,9.75,ALL
Oriente Petrolero,J Wilsterman,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.75,3.30,2.95,1.20,1.18,1.60,5.00,3.90,1.20,2.75,3.10,1.60,1.20,3.75,5.25,1.02,4.50,9.00,ALL
Midtjylland,SonderjyskE,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.25,3.60,5.75,1.02,1.12,2.15,2.60,3.00,1.45,1.65,2.80,2.55,1.02,3.40,7.50,1.00,1.00,1.00,ALL
Mjallby,Dalkurd,5-0,5,0,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.30,3.60,4.75,1.05,1.12,2.05,2.80,3.10,1.40,1.75,2.80,2.05,1.05,3.40,6.75,1.00,3.40,9.00,ALL
Başakşehir,Gaziantep,3-1,3,1,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.32,3.80,5.60,1.05,1.15,2.35,2.90,3.45,1.50,1.80,3.15,2.35,1.05,4.30,9.00,1.00,4.50,13.00,ALL
Giresunspor,Boluspor,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.40,3.30,4.40,1.05,1.15,1.90,3.40,3.10,1.30,2.00,2.65,1.90,1.05,3.30,6.75,1.00,3.40,9.50,ALL
